Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
conformer-base-p16_3rdparty_in1k,configs/conformer/conformer-base-p16_8xb128_in1k.py,22892078080,83289136,83.82,96.59,,,
efficientnet-b5_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b5_8xb32_in1k.py,10799472560,30389784,83.82,96.76,,,
efficientnetv2-s_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-s_8xb32_in1k-384px.py,9719420928,21458488,83.82,96.67,,,
deit3-base-p16_3rdparty_in1k,configs/deit3/deit3-base-p16_64xb64_in1k.py,17581972224,86585320,83.8,96.55,,,
swin-base-w6_simmim-800e-pre_8xb256-coslr-100e_in1k-192px,configs/simmim/benchmarks/swin-base-w7_8xb256-coslr-100e_in1k.py,15466852352,87768224,83.8,,100.0,2048.0,
hornet-small_3rdparty_in1k,configs/hornet/hornet-small_8xb64_in1k.py,8825621280,49528264,83.79,96.75,,,
xcit-tiny-24-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-tiny-24-p8_8xb128_in1k-384px.py,27052135872,12107128,83.77,96.72,,,
swinv2-small-w8_3rdparty_in1k-256px,configs/swin_transformer_v2/swinv2-small-w8_16xb64_in1k-256px.py,8450000000,49730000,83.74,96.6,,,
convnext-base_3rdparty-noema_in1k,configs/convnext/convnext-base_32xb128_in1k.py,15359124480,88591464,83.71,96.6,,,
xcit-small-24-p16_3rdparty-dist_in1k,configs/xcit/xcit-small-24-p16_8xb128_in1k.py,9095064960,47671384,83.7,96.61,,,
riformer-m48_in1k-384,configs/riformer/riformer-m48_8xb64_in1k-384px.py,34060000000,73473000,83.7,96.6,,,
vit-large-p16_mocov3-pre_8xb64-coslr-100e_in1k,configs/mocov3/benchmarks/vit-large-p16_8xb64-coslr-100e_in1k.py,61603111936,304326632,83.7,,100.0,512.0,
vit-base-p16_eva-mae-style-pre_8xb128-coslr-100e_in1k,configs/eva/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,83.7,,100.0,1024.0,
edgenext-base_3rdparty-usi_in1k,configs/edgenext/edgenext-base_8xb256-usi_in1k.py,3814395280,18511292,83.67,96.7,,,
convnext-base_32xb128_in1k,configs/convnext/convnext-base_32xb128_in1k.py,15359124480,88591464,83.66,96.74,,,
convnext-base_32xb128-noema_in1k,configs/convnext/convnext-base_32xb128_in1k.py,15359124480,88591464,83.64,96.61,,,
hrnet-w48_3rdparty_8xb32-ssld_in1k,configs/hrnet/hrnet-w48_4xb32_in1k.py,17364014752,77466024,83.63,96.79,,,
mvitv2-small_3rdparty_in1k,configs/mvit/mvitv2-small_8xb256_in1k.py,6997555136,34870216,83.63,96.51,,,
xcit-small-24-p8_3rdparty_in1k,configs/xcit/xcit-small-24-p8_8xb128_in1k.py,35812053888,47631112,83.62,96.51,,,
davit-small_3rdparty_in1k,configs/davit/davit-small_4xb256_in1k.py,8799942144,49745896,83.61,96.75,,,
xcit-medium-24-p8_3rdparty_in1k,configs/xcit/xcit-medium-24-p8_8xb128_in1k.py,63524706816,84323624,83.61,96.23,,,
twins-svt-large_3rdparty_16xb64_in1k,configs/twins/twins-svt-large_16xb64_in1k.py,14820000000,99270000,83.6,96.5,,,
pvig-base_3rdparty_in1k,configs/vig/pvig-base_8xb128_in1k.py,16861000000,95213000,83.59,96.52,,,
vit-base-p16_mae-1600e-pre_8xb128-coslr-100e_in1k,configs/mae/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,83.5,,100.0,1024.0,
swin-base-w7_simmim-100e-pre_8xb256-coslr-100e_in1k,configs/simmim/benchmarks/swin-base-w7_8xb256-coslr-100e_in1k.py,15466852352,87768224,83.5,,100.0,2048.0,
replknet-31B_3rdparty_in1k,configs/replknet/replknet-31B_32xb64_in1k.py,15636547584,79864168,83.48,96.57,,,
deit3-small-p16_3rdparty_in1k-384px,configs/deit3/deit3-small-p16_64xb64_in1k-384px.py,15517663104,22205416,83.43,96.68,,,
swin-base_3rdparty_in1k,configs/swin_transformer/swin-base_16xb64_in1k.py,15140000000,87770000,83.42,96.44,,,
efficientformer-l7_3rdparty_8xb128_in1k,configs/efficientformer/efficientformer-l7_8xb128_in1k.py,10163951616,82229328,83.4,96.6,,,
vit-base-p16_maskfeat-pre_8xb256-coslr-100e_in1k,configs/maskfeat/benchmarks/vit-base-p16_8xb256-coslr-100e_in1k.py,17581215744,86566120,83.4,,100.0,2048.0,
riformer-m36_in1k-384,configs/riformer/riformer-m36_8xb64_in1k-384px.py,25865000000,56173000,83.39,96.4,,,
convnext-v2-nano_fcmae-in21k-pre_3rdparty_in1k-384px,configs/convnext_v2/convnext-v2-nano_32xb32_in1k-384px.py,7214472320,15623800,83.36,96.75,,,
swin-base_16xb64_in1k,configs/swin_transformer/swin-base_16xb64_in1k.py,15140000000,87770000,83.36,96.44,,,
deit-base-distilled_3rdparty_in1k,configs/deit/deit-base-distilled_16xb64_in1k.py,17674283520,87338192,83.33,96.49,,,
conformer-small-p16_3rdparty_in1k,configs/conformer/conformer-small-p16_8xb128_in1k.py,10311309312,37673424,83.32,96.46,,,
vit-base-p16_mae-800e-pre_8xb128-coslr-100e_in1k,configs/mae/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,83.3,,100.0,1024.0,
vit-base-p16_mae-400e-pre_8xb128-coslr-100e_in1k,configs/mae/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,83.3,,100.0,1024.0,
efficientnet-b4_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b4_8xb32-01norm_in1k.py,4659080176,19341616,83.25,96.44,,,
swin-small_3rdparty_in1k,configs/swin_transformer/swin-small_16xb64_in1k.py,8520000000,49610000,83.21,96.25,,,
convnext-small_32xb128-noema_in1k,configs/convnext/convnext-small_32xb128_in1k.py,8687008512,50223688,83.21,96.48,,,
xcit-small-12-p8_3rdparty_in1k,configs/xcit/xcit-small-12-p8_8xb128_in1k.py,18691601280,26213032,83.21,96.41,,,
beit-base-p16_cae-pre_8xb128-coslr-100e_in1k,configs/cae/benchmarks/beit-base-p16_8xb128-coslr-100e_in1k.py,17581219584,86682280,83.2,,100.0,1024.0,
tinyvit-11m_in21k-distill-pre_3rdparty_in1k,configs/tinyvit/tinyvit-11m-distill_8xb256_in1k.py,2050033664,10996972,83.19,96.53,,,
efficientnet-b5_3rdparty_8xb32_in1k,configs/efficientnet/efficientnet-b5_8xb32_in1k.py,10799472560,30389784,83.18,96.47,,,
convnext-small_32xb128_in1k,configs/convnext/convnext-small_32xb128_in1k.py,8687008512,50223688,83.16,96.56,,,
twins-svt-base_8xb128_3rdparty_in1k,configs/twins/twins-svt-base_8xb128_in1k.py,8350000000,56070000,83.13,96.29,,,
xcit-small-12-p16_3rdparty-dist_in1k,configs/xcit/xcit-small-12-p16_8xb128_in1k.py,4814951808,26253304,83.12,96.41,,,
pvig-medium_3rdparty_in1k,configs/vig/pvig-medium_8xb128_in1k.py,8886000000,51682000,83.12,96.35,,,
vit-base-p16_mae-300e-pre_8xb128-coslr-100e_in1k,configs/mae/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,83.1,,100.0,1024.0,
beit-base-p16_beit-pre_8xb128-coslr-100e_in1k,configs/beit/benchmarks/beit-base-p16_8xb128-coslr-100e_in1k.py,17581219584,86530984,83.1,,100.0,1024.0,
twins-pcpvt-large_3rdparty_16xb64_in1k,configs/twins/twins-pcpvt-large_16xb64_in1k.py,9510000000,60990000,83.09,96.59,,,
tinyvit-21m_3rdparty_in1k,configs/tinyvit/tinyvit-21m_8xb256_in1k.py,4301124096,21198568,83.08,96.58,,,
vit-base-p32_clip-laion2b-in12k-pre_3rdparty_in1k,configs/clip/vit-base-p32_pt-64xb64_in1k.py,4364335104,88225000,83.06,96.49,,,
deit3-small-p16_in21k-pre_3rdparty_in1k,configs/deit3/deit3-small-p16_64xb64_in1k.py,4607954304,22059496,83.06,96.77,,,
deit-base_224px-pre_3rdparty_in1k-384px,configs/deit/deit-base_16xb32_in1k-384px.py,55538974464,86859496,83.04,96.31,,,
swin-small_16xb64_in1k,configs/swin_transformer/swin-small_16xb64_in1k.py,8520000000,49610000,83.02,96.29,,,
vit-base-p16_mocov3-pre_8xb64-coslr-150e_in1k,configs/mocov3/benchmarks/vit-base-p16_8xb64-coslr-150e_in1k.py,17581972224,86567656,83.0,,150.0,512.0,
deit3-medium-p16_3rdparty_in1k,configs/deit3/deit3-medium-p16_64xb64_in1k.py,8003064320,38849512,82.99,96.22,,,
hornet-tiny-gf_3rdparty_in1k,configs/hornet/hornet-tiny-gf_8xb128_in1k.py,3896472160,22991848,82.98,96.38,,,
xcit-large-24-p16_3rdparty_in1k,configs/xcit/xcit-large-24-p16_8xb128_in1k.py,35855948544,189096136,82.97,95.86,,,
efficientnet-b4_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b4_8xb32_in1k.py,4659080176,19341616,82.95,96.26,,,
convnext-v2-tiny_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-tiny_32xb32_in1k.py,4469631744,28635496,82.94,96.29,,,
convnext-tiny_in21k-pre_3rdparty_in1k,configs/convnext/convnext-tiny_32xb128_in1k.py,4457472768,28589128,82.9,96.62,,,
hornet-tiny_3rdparty_in1k,configs/hornet/hornet-tiny_8xb128_in1k.py,3976156352,22409512,82.84,96.24,,,
swinv2-tiny-w16_3rdparty_in1k-256px,configs/swin_transformer_v2/swinv2-tiny-w16_16xb64_in1k-256px.py,4400000000,28350000,82.81,96.23,,,
van-base_3rdparty_in1k,configs/van/van-base_8xb128_in1k.py,5030000000,26580000,82.8,96.21,,,
convnextv2-tiny_spark-pre_300e_in1k,configs/spark/benchmarks/convnextv2-tiny_8xb256-coslr-300e_in1k.py,4469631744,28635496,82.8,96.3,,,
riformer-m48_in1k,configs/riformer/riformer-m48_8xb64_in1k.py,11590000000,73473000,82.75,96.11,,,
t2t-vit-t-24_8xb64_in1k,configs/t2t_vit/t2t-vit-t-24_8xb64_in1k.py,12690000000,64000000,82.71,96.09,,,
swin-base-w6_simmim-100e-pre_8xb256-coslr-100e_in1k-192px,configs/simmim/benchmarks/swin-base-w6_8xb256-coslr-100e_in1k-192px.py,11303976960,87750176,82.7,,100.0,2048.0,
twins-pcpvt-base_3rdparty_8xb128_in1k,configs/twins/twins-pcpvt-base_8xb128_in1k.py,6450000000,43830000,82.66,96.26,,,
t2t-vit-t-19_8xb64_in1k,configs/t2t_vit/t2t-vit-t-19_8xb64_in1k.py,7800000000,39080000,82.63,96.18,,,
xcit-tiny-24-p8_3rdparty-dist_in1k,configs/xcit/xcit-tiny-24-p8_8xb128_in1k.py,9205828032,12107128,82.62,96.16,,,
vig-base_3rdparty_in1k,configs/vig/vig-base_8xb128_in1k.py,17681000000,20685000,82.62,96.04,,,
levit-384_3rdparty_in1k,configs/levit/levit-384_8xb256_in1k.py,2372941568,38358300,82.59,95.95,,,
riformer-m36_in1k,configs/riformer/riformer-m36_8xb128_in1k.py,8801000000,56173000,82.57,95.99,,,
efficientnet-b4_3rdparty_8xb32_in1k,configs/efficientnet/efficientnet-b4_8xb32_in1k.py,4659080176,19341616,82.57,96.09,,,
xcit-medium-24-p16_3rdparty_in1k,configs/xcit/xcit-medium-24-p16_8xb128_in1k.py,16129561088,84395752,82.56,95.82,,,
poolformer-m48_3rdparty_32xb128_in1k,configs/poolformer/poolformer-m48_32xb128_in1k.py,11801805696,73473448,82.51,95.95,,,
edgenext-base_3rdparty_in1k,configs/edgenext/edgenext-base_8xb256_in1k.py,3814395280,18511292,82.48,96.2,,,
efficientnet-b2_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b2_8xb32_in1k.py,1066620392,9109994,82.47,96.23,,,
vit-base-p32_clip-laion2b-pre_3rdparty_in1k,configs/clip/vit-base-p32_pt-64xb64_in1k.py,4364335104,88225000,82.46,96.12,,,
xcit-tiny-12-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-tiny-12-p8_8xb128_in1k-384px.py,14126142912,6706504,82.46,96.22,,,
efficientformer-l3_3rdparty_8xb128_in1k,configs/efficientformer/efficientformer-l3_8xb128_in1k.py,3737045760,31406000,82.45,96.18,,,
xcit-tiny-24-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-tiny-24-p16_8xb128_in1k-384px.py,6872966592,12116896,82.43,96.2,,,
xcit-small-24-p16_3rdparty_in1k,configs/xcit/xcit-small-24-p16_8xb128_in1k.py,9095064960,47671384,82.38,95.93,,,
vit-base-p16_32xb128-mae_in1k,configs/vision_transformer/vit-base-p16_32xb128-mae_in1k.py,17581972224,86567656,82.37,96.15,,,
mvitv2-tiny_3rdparty_in1k,configs/mvit/mvitv2-tiny_8xb256_in1k.py,4703510768,24173320,82.33,96.15,,,
davit-tiny_3rdparty_in1k,configs/davit/davit-tiny_4xb256_in1k.py,4539698688,28360168,82.24,96.13,,,
riformer-s36_in1k-384,configs/riformer/riformer-s36_8xb64_in1k-384px.py,14702000000,30863000,82.22,95.95,,,
poolformer-m36_3rdparty_32xb128_in1k,configs/poolformer/poolformer-m36_32xb128_in1k.py,8960175744,56172520,82.14,95.71,,,
convnext-tiny_32xb128_in1k,configs/convnext/convnext-tiny_32xb128_in1k.py,4457472768,28589128,82.14,96.06,,,
hivit-tiny-p16_16xb64_in1k,configs/hivit/hivit-tiny-p16_16xb64_in1k.py,4603000000,19181000,82.1,,,,
convnext-v2-nano_fcmae-in21k-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-nano_32xb32_in1k.py,2454926720,15623800,82.04,96.16,,,
efficientnetv2-b3_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-b3_8xb32_in1k.py,3498068400,14358406,82.03,95.88,,,
pvig-small_3rdparty_in1k,configs/vig/pvig-small_8xb128_in1k.py,4572000000,29024000,82.0,95.97,,,
conformer-small-p32_8xb128_in1k,configs/conformer/conformer-small-p32_8xb128_in1k.py,7087281792,38853072,81.96,96.02,,,
convnext-tiny_32xb128-noema_in1k,configs/convnext/convnext-tiny_32xb128_in1k.py,4457472768,28589128,81.95,95.89,,,
xcit-small-12-p16_3rdparty_in1k,configs/xcit/xcit-small-12-p16_8xb128_in1k.py,4814951808,26253304,81.87,95.77,,,
convnext-v2-nano_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-nano_32xb32_in1k.py,2454926720,15623800,81.86,95.75,,,
t2t-vit-t-14_8xb64_in1k,configs/t2t_vit/t2t-vit-t-14_8xb64_in1k.py,4340000000,21470000,81.83,95.84,,,
repvgg-D2se_3rdparty_in1k,configs/repvgg/repvgg-D2se_8xb32_in1k.py,32838581760,120387572,81.81,95.94,,,
revvit-base_3rdparty_in1k,configs/revvit/revvit-base_8xb256_in1k.py,17490450432,87337192,81.81,95.56,,,
efficientnet-b3_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b3_8xb32-01norm_in1k.py,1953798216,12233232,81.81,95.69,,,
deit-base_3rdparty_in1k,configs/deit/deit-base_16xb64_in1k.py,17581972224,86567656,81.79,95.59,,,
vit-base-p32_clip-openai-pre_3rdparty_in1k,configs/clip/vit-base-p32_pt-64xb64_in1k.py,4364335104,88225000,81.77,95.89,,,
twins-svt-small_3rdparty_8xb128_in1k,configs/twins/twins-svt-small_8xb128_in1k.py,2820000000,24060000,81.77,95.57,,,
swinv2-tiny-w8_3rdparty_in1k-256px,configs/swin_transformer_v2/swinv2-tiny-w8_16xb64_in1k-256px.py,4350000000,28350000,81.76,95.87,,,
deit-base_16xb64_in1k,configs/deit/deit-base_16xb64_in1k.py,17581972224,86567656,81.76,95.81,,,
xcit-tiny-24-p8_3rdparty_in1k,configs/xcit/xcit-tiny-24-p8_8xb128_in1k.py,9205828032,12107128,81.7,95.9,,,
levit-256_3rdparty_in1k,configs/levit/levit-256_8xb256_in1k.py,1141625216,18379852,81.59,95.46,,,
efficientnet-b3_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b3_8xb32_in1k.py,1953798216,12233232,81.58,95.67,,,
tnt-small-p16_3rdparty_in1k,configs/tnt/tnt-s-p16_16xb64_in1k.py,3360000000,23760000,81.52,95.73,,,
wide-resnet50_3rdparty-timm_8xb32_in1k,configs/wrn/wide-resnet50_timm_8xb32_in1k.py,11440000000,68880000,81.45,95.53,,,
tinyvit-11m_3rdparty_in1k,configs/tinyvit/tinyvit-11m_8xb256_in1k.py,2050033664,10996972,81.44,95.79,,,
efficientnet-b1_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b1_8xb32_in1k.py,744059920,7794184,81.44,95.83,,,
poolformer-s36_3rdparty_32xb128_in1k,configs/poolformer/poolformer-s36_32xb128_in1k.py,5149422592,30862760,81.43,95.45,,,
convmixer-1536-20_3rdparty_in1k,configs/convmixer/convmixer-1536-20_10xb64_in1k.py,48713170944,51625960,81.37,95.61,,,
riformer-s24_in1k-384,configs/riformer/riformer-s24_8xb128_in1k-384px.py,10028000000,21389000,81.36,95.4,,,
deit3-small-p16_3rdparty_in1k,configs/deit3/deit3-small-p16_64xb64_in1k.py,4607954304,22059496,81.35,95.31,,,
conformer-tiny-p16_3rdparty_in1k,configs/conformer/conformer-tiny-p16_8xb128_in1k.py,4899611328,23524704,81.31,95.6,,,
riformer-s36_in1k,configs/riformer/riformer-s36_8xb128_in1k.py,5003000000,30863000,81.29,95.41,,,
xcit-tiny-12-p8_3rdparty-dist_in1k,configs/xcit/xcit-tiny-12-p8_8xb128_in1k.py,4807399872,6706504,81.26,95.46,,,
swin-tiny_3rdparty_in1k,configs/swin_transformer/swin-tiny_16xb64_in1k.py,4360000000,28290000,81.18,95.52,,,
swin-tiny_16xb64_in1k,configs/swin_transformer/swin-tiny_16xb64_in1k.py,4360000000,28290000,81.18,95.61,,,
deit-small-distilled_3rdparty_in1k,configs/deit/deit-small-distilled_4xb256_in1k.py,4632876288,22436432,81.17,95.4,,,
twins-pcpvt-small_3rdparty_8xb128_in1k,configs/twins/twins-pcpvt-small_8xb128_in1k.py,3670000000,24110000,81.14,95.69,,,
repmlp-base_3rdparty_8xb64_in1k-256px,configs/repmlp/repmlp-base_8xb64_in1k-256px.py,9690000000,96450000,81.11,95.5,,,
edgenext-small-usi_3rdparty_in1k,configs/edgenext/edgenext-small_8xb256-usi_in1k.py,1249788000,5586832,81.06,95.34,,,
hrnet-w18_3rdparty_8xb32-ssld_in1k,configs/hrnet/hrnet-w18_4xb32_in1k.py,4330397932,21295164,81.06,95.7,,,
van-small_3rdparty_in1k,configs/van/van-small_8xb128_in1k.py,2520000000,13860000,81.01,95.63,,,
efficientnet-b3_3rdparty_8xb32_in1k,configs/efficientnet/efficientnet-b3_8xb32_in1k.py,1953798216,12233232,81.01,95.34,,,
tinyvit-5m_in21k-distill-pre_3rdparty_in1k,configs/tinyvit/tinyvit-5m-distill_8xb256_in1k.py,1286655360,5392764,80.71,95.57,,,
deit-small_4xb256_in1k,configs/deit/deit-small_4xb256_in1k.py,4607954304,22050664,80.69,95.06,,,
vit-tiny-p14_eva02-in21k-pre_3rdparty_in1k-336px,configs/eva02/eva02-tiny-p14_in1k.py,4675416000,5758888,80.69,95.54,,,
efficientnetv2-b2_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-b2_8xb32_in1k.py,1986433080,10096086,80.63,95.3,,,
vig-small_3rdparty_in1k,configs/vig/vig-small_8xb128_in1k.py,4535000000,22748000,80.61,95.28,,,
xcit-tiny-12-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-tiny-12-p16_8xb128_in1k-384px.py,3641468352,6716272,80.58,95.38,,,
repvgg-B3_8xb32_in1k,configs/repvgg/repvgg-B3_8xb32_in1k.py,26206448128,110960872,80.58,95.33,,,
xcit-tiny-24-p16_3rdparty-dist_in1k,configs/xcit/xcit-tiny-24-p16_8xb128_in1k.py,2339305152,12116896,80.51,95.17,,,
efficientformer-l1_3rdparty_8xb128_in1k,configs/efficientformer/efficientformer-l1_8xb128_in1k.py,1304601088,12278696,80.46,94.99,,,
efficientnet-b2_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b2_8xb32-01norm_in1k.py,1066620392,9109994,80.45,95.07,,,
repmlp-base_3rdparty_8xb64_in1k,configs/repmlp/repmlp-base_8xb64_in1k.py,6710000000,68240000,80.41,95.14,,,
poolformer-s24_3rdparty_32xb128_in1k,configs/poolformer/poolformer-s24_32xb128_in1k.py,3510411008,21388968,80.33,95.05,,,
convnext-v2-pico_fcmae-pre_3rdparty_in1k,configs/convnext_v2/convnext-v2-pico_32xb32_in1k.py,1374072320,9066280,80.31,95.08,,,
riformer-s24_in1k,configs/riformer/riformer-s24_8xb128_in1k.py,3412000000,21389000,80.28,94.8,,,
repvgg-B3g4_8xb32_in1k,configs/repvgg/repvgg-B3g4_8xb32_in1k.py,16062065152,75626728,80.26,95.15,,,
efficientnet-b2_3rdparty_8xb32-aa_in1k,configs/efficientnet/efficientnet-b2_8xb32_in1k.py,1066620392,9109994,80.21,94.96,,,
convmixer-768-32_3rdparty_in1k,configs/convmixer/convmixer-768-32_10xb64_in1k.py,19623051264,21110248,80.16,95.08,,,
